mechanism,probability,rank,in_group_99
M1,0.997760772705,1,true
M2,0.00159812916536,2,false
M3,1.43768775097e-12,14,false
M4,3.16482134629e-16,17,false
M5,0.00064111314714,3,false
M6,1.1567232415e-11,10,false
M7,1.9863455325e-10,6,false
M8,3.2881833107e-12,11,false
M9,2.3732713017e-10,5,false
M10,2.74497195807e-11,9,false
M11,1.87352369729e-10,7,false
M12,3.72834166238e-18,19,false
M13,2.82878942492e-09,4,false
M14,7.36139690871e-11,8,false
M15,2.38885994319e-12,12,false
M16,7.60656762458e-15,16,false
M17,1.6131800714e-16,18,false
M18,3.41105550632e-22,20,false
M19,5.14360852088e-13,15,false
M20,2.18884047172e-12,13,false
