epoch,target_epochs,seconds,categorical_accuracy,loss,val_categorical_accuracy,val_loss
1.0,3000.0,148.0,0.1401,2.7189,0.1709,2.5748
2.0,3000.0,113.0,0.2003,2.4752,0.2239,2.3842
3.0,3000.0,112.0,0.2457,2.2991,0.2747,2.2004
4.0,3000.0,110.0,0.2796,2.174,0.3038,2.1051
5.0,3000.0,110.0,0.3094,2.0699,0.3321,1.9987
6.0,3000.0,111.0,0.3364,1.9782,0.3636,1.8965
7.0,3000.0,111.0,0.3561,1.9133,0.3803,1.8375
8.0,3000.0,113.0,0.3773,1.8435,0.3858,1.803
9.0,3000.0,112.0,0.4002,1.7735,0.3801,1.8003
10.0,3000.0,117.0,0.418,1.716,0.4325,1.692
11.0,3000.0,114.0,0.4338,1.6659,0.426,1.6832
12.0,3000.0,115.0,0.4476,1.6202,0.4732,1.56
13.0,3000.0,114.0,0.4619,1.5816,0.4677,1.5586
14.0,3000.0,113.0,0.4745,1.5367,0.4934,1.505
15.0,3000.0,115.0,0.4867,1.5031,0.4908,1.4912
16.0,3000.0,113.0,0.4994,1.4611,0.5181,1.4078
17.0,3000.0,113.0,0.5116,1.4254,0.5262,1.3979
18.0,3000.0,114.0,0.5208,1.3913,0.4994,1.4498
19.0,3000.0,112.0,0.5325,1.3576,0.5389,1.3318
20.0,3000.0,112.0,0.5385,1.3371,0.5504,1.3087
21.0,3000.0,112.0,0.5421,1.3257,0.516,1.3643
22.0,3000.0,114.0,0.5543,1.2862,0.5727,1.2427
23.0,3000.0,116.0,0.5625,1.2604,0.576,1.229
24.0,3000.0,114.0,0.5692,1.2385,0.5425,1.2948
25.0,3000.0,114.0,0.5761,1.2181,0.5978,1.1675
26.0,3000.0,127.0,0.5805,1.2016,0.6054,1.1401
27.0,3000.0,115.0,0.5889,1.1781,0.605,1.1358
28.0,3000.0,147.0,0.5927,1.1647,0.6049,1.1248
29.0,3000.0,115.0,0.598,1.1496,0.6038,1.1377
30.0,3000.0,115.0,0.6002,1.1406,0.6175,1.0969
31.0,3000.0,111.0,0.6086,1.1156,0.6214,1.0878
32.0,3000.0,114.0,0.61,1.1078,0.6243,1.0718
33.0,3000.0,113.0,0.609,1.1135,0.6254,1.0726
34.0,3000.0,114.0,0.6156,1.0933,0.5596,1.2119
35.0,3000.0,117.0,0.6157,1.0912,0.6336,1.049
36.0,3000.0,117.0,0.6287,1.0522,0.621,1.0834
37.0,3000.0,121.0,0.6245,1.0645,0.6126,1.0983
38.0,3000.0,116.0,0.6346,1.0345,0.6332,1.0364
39.0,3000.0,119.0,0.6316,1.0417,0.6362,1.0296
40.0,3000.0,114.0,0.6384,1.0221,0.6464,0.9968
41.0,3000.0,113.0,0.6393,1.0199,0.6276,1.0283
42.0,3000.0,119.0,0.6424,1.0083,0.6406,1.0102
43.0,3000.0,116.0,0.6468,0.9959,0.6365,1.021
44.0,3000.0,117.0,0.6468,0.9965,0.6558,0.977
45.0,3000.0,115.0,0.6482,0.9902,0.6285,1.0561
46.0,3000.0,116.0,0.6494,0.9882,0.648,0.995
47.0,3000.0,118.0,0.6566,0.9676,0.6465,0.9804
48.0,3000.0,117.0,0.6544,0.9722,0.6626,0.9584
49.0,3000.0,114.0,0.6587,0.9612,0.6595,0.9554
50.0,3000.0,114.0,0.6614,0.9505,0.6612,0.9375
51.0,3000.0,114.0,0.6571,0.9631,0.6696,0.9252
52.0,3000.0,114.0,0.6647,0.9403,0.6495,0.9849
53.0,3000.0,113.0,0.6695,0.9267,0.6729,0.9237
54.0,3000.0,112.0,0.6678,0.9307,0.6072,1.095
55.0,3000.0,112.0,0.6708,0.9225,0.6821,0.8988
56.0,3000.0,112.0,0.6763,0.9079,0.6794,0.8983
57.0,3000.0,115.0,0.672,0.9209,0.6874,0.8766
58.0,3000.0,119.0,0.6783,0.9003,0.6731,0.9142
59.0,3000.0,114.0,0.6757,0.9089,0.6766,0.9119
60.0,3000.0,122.0,0.6749,0.9112,0.6635,0.9434
61.0,3000.0,117.0,0.6772,0.9036,0.6804,0.8951
62.0,3000.0,115.0,0.6802,0.8952,0.6898,0.8806
63.0,3000.0,117.0,0.6798,0.8951,0.6601,0.9383
64.0,3000.0,115.0,0.6854,0.8788,0.6846,0.88
65.0,3000.0,116.0,0.6839,0.8844,0.6952,0.8602
66.0,3000.0,117.0,0.6877,0.8741,0.6934,0.8625
67.0,3000.0,118.0,0.6915,0.8625,0.6995,0.8424
68.0,3000.0,114.0,0.6906,0.8621,0.696,0.8469
69.0,3000.0,114.0,0.6891,0.8677,0.6752,0.9023
70.0,3000.0,115.0,0.6923,0.8595,0.6832,0.8895
71.0,3000.0,113.0,0.6937,0.8545,0.7012,0.8407
72.0,3000.0,116.0,0.6967,0.8469,0.6943,0.8588
73.0,3000.0,120.0,0.6963,0.8464,0.7077,0.8162
74.0,3000.0,113.0,0.6961,0.848,0.6929,0.8535
75.0,3000.0,112.0,0.702,0.8303,0.6976,0.8451
76.0,3000.0,112.0,0.6976,0.8429,0.701,0.8265
77.0,3000.0,113.0,0.6982,0.8413,0.7055,0.8225
78.0,3000.0,112.0,0.7017,0.831,0.702,0.8299
79.0,3000.0,111.0,0.704,0.8239,0.7014,0.8201
80.0,3000.0,112.0,0.7068,0.8166,0.7072,0.8131
81.0,3000.0,117.0,0.7043,0.8245,0.7089,0.8075
82.0,3000.0,114.0,0.7073,0.8137,0.706,0.812
83.0,3000.0,113.0,0.7067,0.8158,0.7157,0.792
84.0,3000.0,113.0,0.7051,0.8204,0.712,0.8056
85.0,3000.0,117.0,0.7107,0.805,0.7085,0.8111
86.0,3000.0,136.0,0.7078,0.8142,0.6906,0.8546
87.0,3000.0,114.0,0.7095,0.8072,0.6695,0.9002
88.0,3000.0,116.0,0.7106,0.805,0.7104,0.8117
89.0,3000.0,119.0,0.7099,0.8079,0.7141,0.7916
90.0,3000.0,115.0,0.7098,0.8069,0.7195,0.787
91.0,3000.0,116.0,0.7158,0.7902,0.693,0.8434
